date,vehicle_class,percent_of_normal_volume,version
2020-07-19,MDT,124.44999999999999,1.0
2020-07-19,MPV,114.34,1.0
2020-07-30,MPV,110.79,1.0
2020-07-30,Passenger,87.74,1.0
2020-07-30,LDT,161.98,1.0
2020-07-30,MDT,129.87,1.0
2020-07-30,HDT,112.17999999999999,1.0
2020-07-30,Bus,25.019999999999996,1.0
2020-05-23,HDT,98.32,1.0
2020-05-23,MDT,117.58,1.0
2020-05-23,Passenger,68.089999999999989,1.0
2020-05-23,LDT,159.67,1.0
2020-05-23,MPV,107.27,1.0
2020-05-23,Bus,41.99,1.0
2020-07-10,Passenger,85.31,1.0
2020-07-10,MDT,121.63,1.0
2020-07-10,Bus,22.93,1.0
2020-07-10,MPV,106.62,1.0
2020-07-10,HDT,105.60000000000001,1.0
2020-07-10,LDT,153.83,1.0
2020-09-07,LDT,59.77,1.0
2020-09-07,MDT,41.370000000000005,1.0
2020-09-07,Bus,11.74,1.0
2020-09-07,MPV,43.44,1.0
2020-09-07,HDT,50.860000000000007,1.0
2020-09-07,Passenger,47.3,1.0
2020-05-02,Passenger,61.91,1.0
2020-05-02,HDT,88.8,1.0
2020-05-02,LDT,148.43,1.0
2020-05-02,Bus,35.04,1.0
2020-05-02,MDT,112.04,1.0
2020-05-02,MPV,98.98,1.0
2020-03-14,Passenger,100.1,1.0
2020-03-14,LDT,100.8,1.0
2020-03-14,MPV,99.72,1.0
2020-03-14,MDT,102.56,1.0
2020-03-14,Bus,74.67,1.0
2020-03-14,HDT,104.67999999999999,1.0
2020-08-31,Passenger,89.27000000000001,1.0
2020-08-31,MPV,113.26,1.0
2020-08-31,HDT,119.94,1.0
2020-08-31,LDT,160.32,1.0
2020-08-31,MDT,135.14,1.0
2020-08-31,Bus,41.74,1.0
2020-03-28,Passenger,59.39,1.0
2020-03-28,HDT,92.16,1.0
2020-03-28,MPV,74.62,1.0
2020-03-28,MDT,91.69,1.0
2020-03-28,LDT,92.93,1.0
2020-03-28,Bus,35.32,1.0
2020-08-13,HDT,112.81000000000002,1.0
2020-08-13,MPV,111.86,1.0
2020-08-13,LDT,160.72,1.0
2020-08-13,Passenger,89.070000000000007,1.0
2020-08-13,MDT,128.2,1.0
2020-08-13,Bus,32.12,1.0
2020-04-01,HDT,95.17,1.0
2020-04-01,Passenger,60.86,1.0
2020-04-01,LDT,90.81,1.0
2020-04-01,MDT,94.72,1.0
2020-04-01,Bus,13.33,1.0
2020-04-01,MPV,68.64,1.0
2020-07-24,LDT,155.24,1.0
2020-07-24,HDT,108.96999999999998,1.0
2020-07-24,MPV,109.66,1.0
2020-07-24,Passenger,85.06,1.0
2020-07-24,Bus,23.11,1.0
2020-07-24,MDT,123.07,1.0
2020-06-23,Bus,22.45,1.0
2020-06-23,Passenger,90.710000000000008,1.0
2020-06-23,HDT,108.81,1.0
2020-06-23,MPV,108.35,1.0
2020-06-23,MDT,124.88,1.0
2020-06-23,LDT,156.51,1.0
2020-06-03,HDT,106.44,1.0
2020-06-03,MPV,103.61,1.0
2020-06-03,LDT,155.1,1.0
2020-06-03,Passenger,82.54,1.0
2020-06-03,Bus,20,1.0
2020-06-03,MDT,124.92000000000002,1.0
2020-06-04,MPV,104.16000000000001,1.0
2020-06-04,MDT,125.84,1.0
2020-06-04,LDT,156.99,1.0
2020-06-04,Bus,22.36,1.0
2020-06-04,HDT,110.14999999999999,1.0
2020-06-04,Passenger,83.72,1.0
2020-06-18,Passenger,88.26,1.0
2020-06-18,LDT,159.73999999999998,1.0
2020-06-18,HDT,112.45,1.0
2020-06-18,MPV,108.33,1.0
2020-06-18,Bus,21.47,1.0
2020-06-18,MDT,127.25999999999999,1.0
2020-04-21,MDT,95.789999999999992,1.0
2020-04-21,Bus,12.61,1.0
2020-04-21,MPV,73.4,1.0
2020-04-21,HDT,96.350000000000009,1.0
2020-04-21,Passenger,63.160000000000004,1.0
2020-04-21,LDT,100.46,1.0
2020-03-13,Passenger,102.28999999999999,1.0
2020-03-13,HDT,107.41000000000001,1.0
2020-03-13,Bus,97.6,1.0
2020-03-13,MPV,102.71,1.0
2020-03-13,LDT,105.52999999999999,1.0
2020-03-13,MDT,106.15,1.0
2020-09-06,Bus,63.71,1.0
2020-09-06,LDT,166.51,1.0
