city_name,date_time,percent_congestion
New York,2020-02-05 14:00:00,80.752798618846654
New York,2020-02-05 15:00:00,84.090104262725518
New York,2020-02-05 16:00:00,71.431356058764919
New York,2020-02-05 17:00:00,62.373598766229655
New York,2020-02-05 18:00:00,52.206945008649221
New York,2020-02-05 19:00:00,41.592474910560369
New York,2020-02-05 20:00:00,31.548613383373979
New York,2020-02-05 21:00:00,28.832170522832946
New York,2020-02-05 22:00:00,23.427715340783241
New York,2020-02-05 23:00:00,19.759646600947057
New York,2020-02-06 00:00:00,19.873004460029382
New York,2020-02-06 01:00:00,17.271280198855006
New York,2020-02-06 02:00:00,14.933037562379278
New York,2020-02-06 03:00:00,12.563389169894595
New York,2020-02-06 04:00:00,12.215813901769087
New York,2020-02-06 05:00:00,30.505439085338438
New York,2020-02-06 06:00:00,63.067465395863628
New York,2020-02-06 07:00:00,84.966829886365119
New York,2020-02-06 08:00:00,82.104747185240484
New York,2020-02-06 09:00:00,67.707231071654931
New York,2020-02-06 10:00:00,59.920272158735855
New York,2020-02-06 11:00:00,61.5167825593833
New York,2020-02-06 12:00:00,62.352461517539361
New York,2020-02-06 13:00:00,62.80648238338766
New York,2020-02-06 14:00:00,79.970397421379062
New York,2020-02-06 15:00:00,85.438835563113074
New York,2020-02-06 16:00:00,76.6538510336506
New York,2020-02-06 17:00:00,68.837709104759568
New York,2020-02-06 18:00:00,56.340268739342662
New York,2020-02-06 19:00:00,43.264489462913737
New York,2020-02-06 20:00:00,33.375133477812852
New York,2020-02-06 21:00:00,29.997508310484168
New York,2020-02-06 22:00:00,23.111368260905067
New York,2020-02-06 23:00:00,21.021501781489789
New York,2020-02-07 00:00:00,22.44557384707106
New York,2020-02-07 01:00:00,15.686470325403167
New York,2020-02-07 02:00:00,13.497682066006018
New York,2020-02-07 03:00:00,9.6862156788324167
New York,2020-02-07 04:00:00,12.742909927717989
New York,2020-02-07 05:00:00,29.97700502152874
New York,2020-02-07 06:00:00,62.295669120417749
New York,2020-02-07 07:00:00,84.160479946249225
New York,2020-02-07 08:00:00,82.415355684110366
New York,2020-02-07 09:00:00,68.674366357711676
New York,2020-02-07 10:00:00,60.088968479556925
New York,2020-02-07 11:00:00,64.3803813749504
New York,2020-02-07 12:00:00,67.339914826126716
New York,2020-02-07 13:00:00,68.000048912443646
New York,2020-02-07 14:00:00,84.4224223763033
New York,2020-02-07 15:00:00,88.73744554366742
New York,2020-02-07 16:00:00,73.029669975532812
New York,2020-02-07 17:00:00,62.606439767571395
New York,2020-02-07 18:00:00,52.96661132141832
New York,2020-02-07 19:00:00,45.37369107899891
New York,2020-02-07 20:00:00,37.16256046395273
New York,2020-02-07 21:00:00,34.191255155910689
New York,2020-02-07 22:00:00,28.630002862419367
New York,2020-02-07 23:00:00,27.552840276283636
New York,2020-02-08 00:00:00,25.122811930008172
New York,2020-02-08 01:00:00,20.888586429662897
New York,2020-02-08 02:00:00,11.159639103685265
New York,2020-02-08 03:00:00,14.683969885612042
New York,2020-02-08 04:00:00,10.299619138610371
New York,2020-02-08 05:00:00,11.488858048646636
New York,2020-02-08 06:00:00,17.934281997437274
New York,2020-02-08 07:00:00,30.036062860985989
New York,2020-02-08 08:00:00,40.15447440286988
New York,2020-02-08 09:00:00,44.984551616617352
New York,2020-02-08 10:00:00,45.831854664905165
New York,2020-02-08 11:00:00,47.815555897566611
New York,2020-02-08 12:00:00,50.923018427558532
New York,2020-02-08 13:00:00,50.428094978051739
New York,2020-02-08 14:00:00,52.6657770591628
New York,2020-02-08 15:00:00,51.001137909147772
New York,2020-02-08 16:00:00,50.517455573482337
